,retweetcount,has Supreme Court case-insensitive
1075,9,False
1076,3,False
1077,1000,False
1078,91,False
1079,9,False
1080,13,False
1081,91,False
1082,91,False
1083,91,False
1084,91,False
1085,592,False
1086,1175,False
1087,91,False
1088,2226,False
1089,91,False
1090,3,False
1091,0,False
1092,0,False
1093,0,False
1094,1,False
1095,0,False
1096,190,False
1097,1,False
1099,0,False
1100,3,False
1101,0,False
1102,0,False
1103,91,False
1104,1,False
1105,0,False
1106,0,False
1107,0,False
1108,0,False
1109,0,False
1110,0,False
1111,4,False
1112,0,False
1113,0,False
1114,1,False
1115,0,False
1116,0,False
1117,0,False
1118,0,False
1119,0,False
1120,0,False
1121,1,False
1122,1,False
1123,0,False
1124,1,False
1125,0,False
1127,91,False
1128,91,False
1129,91,False
1130,1,False
1131,1,False
1132,0,False
1133,16,False
1134,0,False
1135,5,False
1136,1,False
1137,0,False
1138,0,False
1139,1,False
1140,0,False
1141,0,False
1142,91,False
1143,91,False
1144,0,False
1145,0,False
1146,91,False
1147,91,False
1148,0,False
1149,1,False
1150,13,False
1151,13,False
1152,13,False
1154,13,False
1155,0,False
1156,13,False
1157,0,False
1158,13,False
1159,30,False
1160,1,False
1161,13,False
1162,91,False
1163,13,False
1164,1,False
1165,0,False
1166,91,False
1167,0,False
1168,0,False
1169,0,False
1170,8,False
1171,91,False
1172,0,False
1173,91,False
1174,91,False
1175,91,False
1176,16,False
1177,13,False
1178,0,False
1179,0,False
1180,0,False
1181,0,False
1182,91,False
1183,0,False
1184,0,False
1185,91,False
1186,91,False
1187,0,False
1188,0,False
1189,91,False
1190,0,False
1191,91,False
1192,16,False
1193,91,False
1194,10,False
1195,1,False
1196,10,False
1197,91,False
1198,0,False
1199,0,False
1200,0,False
1201,91,False
1202,16,False
1203,0,False
1204,31,False
1205,2,False
1207,91,False
1208,91,False
1209,0,False
1210,91,False
1211,42,False
1212,399,False
1215,1175,False
1216,3,False
1217,1,False
1218,3,False
1219,0,False
1220,1,False
1221,0,False
1222,2,False
1223,0,False
1224,0,False
1225,0,False
1226,1,False
1227,91,False
1228,0,False
1229,91,False
1230,2,False
1231,91,False
1232,2208,False
1233,0,False
1234,14,False
1235,1,False
1236,0,False
1237,91,False
1238,91,False
1239,1,False
1240,1175,False
1241,1,False
1242,2226,False
1243,91,False
1244,0,False
1245,2,False
1246,0,False
1247,0,False
1248,0,False
1249,0,False
1250,8,False
1251,2,False
1252,91,False
1253,91,False
1254,1,False
1255,0,False
1256,1,False
1257,91,False
1258,0,False
1259,2,False
1260,0,False
1261,0,False
1262,3,False
1263,91,False
1264,91,False
1265,1,False
1266,91,False
1267,0,False
1268,1,False
1269,1,False
1270,91,False
1271,1,False
1272,1,False
1273,91,False
1274,91,False
1275,2,False
1276,0,False
1277,91,False
1278,1,False
1279,1,False
1280,91,False
1281,0,False
1282,0,False
1283,91,False
1284,91,False
1285,91,False
1286,91,False
1287,8,False
1288,0,False
1289,9,False
1290,91,False
1291,304,False
1292,1,False
1293,1,False
1294,9,False
1295,1,False
1296,6,False
1297,9,False
1298,0,False
1299,2,False
1300,1,False
1301,4,False
1302,0,False
1303,2,False
1304,0,False
1305,2,False
1306,0,False
1307,0,False
1308,8,False
1309,3,False
1310,0,False
1311,1,False
1312,0,False
1313,2,False
1314,0,False
1315,3,False
1316,8,False
1317,8,False
1318,0,False
1319,8,False
1320,0,False
1321,8,False
1322,3,False
1323,1,False
1324,8,False
1325,8,False
1326,0,False
1327,0,False
1328,1,False
1329,0,False
1330,343,False
1331,0,False
1332,7,False
1333,1,False
1334,0,False
1335,0,False
1336,2226,False
1337,1,False
1338,0,False
1339,2226,False
1340,0,False
1341,2,False
1342,9,False
1343,9,False
1344,0,False
1345,31,False
1346,4,False
1347,0,False
1348,2,False
1349,0,False
1350,0,False
1351,9,False
1352,0,False
1353,4,False
1354,0,False
1355,9,False
1356,0,False
1357,0,False
1358,1,False
1359,160,False
1360,9,False
1361,160,False
1362,160,False
1363,5,False
1364,2,False
1365,0,False
1366,4,False
1367,5,False
1368,2208,False
1369,10,False
1370,0,False
1371,51,False
1372,0,False
1373,0,False
1374,1,False
1375,0,False
1376,889,False
1377,2208,False
1378,59,False
1379,4,False
1380,304,False
1381,0,False
1382,2,False
1383,2208,False
1384,1175,False
1385,285,False
1387,2226,False
1388,1,False
1389,2208,False
1390,4,False
1391,4,False
1392,0,False
1393,1,False
1394,3,False
1395,3,False
1396,2,False
1397,9,False
1398,4,False
1399,3,False
1400,2,False
1401,40,False
1402,40,False
1403,1,False
1404,2,False
1405,2226,False
1406,5,False
1407,10,False
1408,2,False
1409,40,False
1410,40,False
1411,2,False
1412,0,False
1413,4,False
1414,0,False
1415,40,False
1416,10,False
1417,1,False
1418,3,False
1419,10,False
1420,0,False
1421,0,False
1422,18,False
1423,0,False
1424,0,False
1425,4,False
1426,1,False
1427,2208,False
1428,0,False
1429,2,False
1430,8,False
1431,0,False
1432,2208,False
1433,16,False
1434,16,False
1435,4,False
1436,8,False
1437,1,False
1438,1,False
1439,0,False
1440,1,False
1441,13,False
1442,3,False
1443,2,False
1444,12,False
1445,2208,False
1446,6,False
1447,7,False
1448,0,False
1449,1,False
1450,889,False
1451,2226,False
1452,0,False
1453,2208,False
1454,3,False
1455,0,False
1456,1,False
1457,40,False
1458,0,False
1459,0,False
